49,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,116.09,-1.08,-0.00,0.00,-114.32,0.00,0.00,0.88,2.38,0.00,0.00,0.00,1.00,0
50,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,116.80,-1.08,-0.00,0.00,-153.27,0.00,0.00,0.88,19.33,0.00,0.00,0.00,1.00,0
51,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,108.24,-1.08,-0.00,0.00,-48.90,0.00,0.00,0.88,-4.00,0.00,0.00,0.00,1.00,0
52,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,108.24,-1.08,-0.00,0.00,-75.07,0.00,0.00,0.88,-4.80,0.00,0.00,0.00,1.00,0
53,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,106.33,-1.08,-0.00,0.00,-90.46,0.00,0.00,0.88,-1.76,0.00,0.00,0.00,1.00,0
54,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,106.33,-1.08,-0.00,0.00,-111.40,0.00,0.00,0.88,6.15,0.00,0.00,0.00,1.00,0
55,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,105.63,-1.08,-0.00,0.00,-161.43,0.00,0.00,0.88,25.38,0.00,0.00,0.00,1.00,0
56,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,93.25,-1.08,-0.00,0.00,-51.21,0.00,0.00,0.88,-4.96,0.00,0.00,0.00,1.00,0
57,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,97.77,-1.08,-0.00,0.00,-75.07,0.00,0.00,0.88,-3.49,0.00,0.00,0.00,1.00,0
58,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,98.48,-1.08,-0.00,0.00,-93.08,0.00,0.00,0.88,2.76,0.00,0.00,0.00,1.00,0
59,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,84.69,-1.08,-0.00,0.00,-51.52,0.00,0.00,0.88,-2.49,0.00,0.00,0.00,1.00,0
60,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,82.78,-1.08,-0.00,0.00,-74.76,0.00,0.00,0.88,-0.00,0.00,0.00,0.00,1.00,0
61,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,82.78,-1.08,-0.00,0.00,-93.08,0.00,0.00,0.88,8.15,0.00,0.00,0.00,1.00,0
62,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,80.17,-1.08,-0.00,0.00,-64.30,0.00,0.00,0.88,-1.33,0.00,0.00,0.00,1.00,0
63,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,74.93,-1.08,-0.00,0.00,-69.53,0.00,0.00,0.88,0.01,0.00,0.00,0.00,1.00,0
64,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,74.93,-1.08,-0.00,0.00,-95.70,0.00,0.00,0.88,11.99,0.00,0.00,0.00,1.00,0
65,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,80.17,-1.08,-0.00,0.00,-116.63,0.00,0.00,0.88,16.21,0.00,0.00,0.00,1.00,0
66,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,63.76,-1.08,-0.00,0.00,-64.60,0.00,0.00,0.88,4.08,0.00,0.00,0.00,1.00,0
67,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,68.99,-1.08,-0.00,0.00,-85.54,0.00,0.00,0.88,7.34,0.00,0.00,0.00,1.00,0
68,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,66.37,-1.08,-0.00,0.00,-101.24,0.00,0.00,0.88,14.55,0.00,0.00,0.00,1.00,0
69,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,61.85,-1.08,-0.00,0.00,-158.50,0.00,0.00,0.88,30.00,0.00,0.00,0.00,1.00,0
70,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,56.61,-1.08,-0.00,0.00,-74.76,0.00,0.00,0.88,8.67,0.00,0.00,0.00,1.00,0
71,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,53.29,-1.08,-0.00,0.00,-148.34,0.00,0.00,0.88,28.12,0.00,0.00,0.00,1.00,0
72,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,50.67,-1.08,-0.00,0.00,-64.60,0.00,0.00,0.88,7.02,0.00,0.00,0.00,1.00,0
73,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,215.53,-1.08,-0.00,0.00,-14.89,0.00,0.00,0.88,0.80,0.00,0.00,0.00,1.00,0
74,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,205.77,-1.08,-0.00,0.00,14.21,0.00,0.00,0.88,4.23,0.00,0.00,0.00,1.00,0
75,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,205.06,-1.08,-0.00,0.00,-90.77,0.00,0.00,0.88,-9.83,0.00,0.00,0.00,1.00,0
76,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,194.60,-1.08,-0.00,0.00,6.05,0.00,0.00,0.88,-0.67,0.00,0.00,0.00,1.00,0
77,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,184.13,-1.08,-0.00,0.00,-164.04,0.00,0.00,0.88,-3.12,0.00,0.00,0.00,1.00,0
